firm_id,symbol,year,fiscal_date,DPS,total_dividends,DPS_lag1,DPS_lag2,total_assets,total_equity,total_debt,market_cap,enterprise_value,log_assets,log_market_cap,debt_to_assets,debt_to_equity,net_debt,net_debt_to_assets,cash_and_equivalents,cash_to_assets,current_assets,current_liabilities,current_ratio,asset_growth,stock_return_1y,stock_vol_1y,beta_to_sp500,beta_to_ust10y,ESGScore,environmentalScore,socialScore,governanceScore,ESGRiskRating,industryRank,delta_ESG
AGNC,AGNC,2008,2008-12-31,1.31,19650000.0,,,1656325000.0,258151000.0,1346000000.0,320400000.0,1610388000.0,21.22786712969243,19.585080773158477,0.8126424463797866,5.214002657359452,1289988000.0,0.7788254116794712,56012000.0,0.033817034700315454,63863000.0,3664000.0,17.42985807860262,,0.09882759461620294,0.03804417162362769,0.8135678052864964,0.016917245175879045,52.01,49.27,50.33,56.42,B-,12 out of 15,
AGNC,AGNC,2009,2009-12-31,4.949999999999999,86659649.99999999,1.31,,4625684000.0,546822000.0,3842000000.0,464635780.0,4103832780.0,22.254890088867764,19.95676438781913,0.8305798666748528,7.0260523534166515,3639197000.0,0.7867370533741604,202803000.0,0.043842813300692396,293224000.0,118946000.0,2.465185882669447,1.7927393476521818,0.2171330148120676,0.02341954770266995,0.5965304247185645,0.022145232929598628,51.98,48.82,50.49,56.63,,,-0.030000000000001137
AGNC,AGNC,2010,2010-12-31,5.6,204372000.0,4.949999999999999,1.31,14475829000.0,1572064000.0,72927000.0,1048866300.0,948535300.0,23.395746129922706,20.770975703518747,0.005037846191744874,0.04638933274981171,-100331000.0,-0.006930932936552373,173258000.0,0.011968779128297247,229743000.0,800301000.0,0.28707073963421265,2.1294461532607936,0.07963685174681734,0.014575660504307628,0.4515002628981999,0.002385440042457603,52.23,49.79,50.64,56.25,B-,26 out of 26,0.25
AGNC,AGNC,2011,2011-12-31,5.6,858726400.0,5.6,4.949999999999999,57972297000.0,6211803000.0,54061000.0,4305899520.0,2993065520.0,24.783231095456465,22.18325190073476,0.0009325316193698517,0.008702948242241423,-1312834000.0,-0.022645885499413626,1366895000.0,0.023578417118783477,56633867000.0,1973551000.0,28.696429431010397,3.004765253858691,-0.023232301493268714,0.01516847725221323,0.49881638753220214,-0.0075718995398920425,52.5,50.23,50.81,56.46,B-,22 out of 22,0.2700000000000031
AGNC,AGNC,2012,2012-12-31,5.15,1565085000.0,5.6,5.6,100453000000.0,10895000000.0,937000000.0,8782710000.0,7289710000.0,25.332955793366164,22.89605085300541,0.009327745313728809,0.08600275355667737,-1493000000.0,-0.014862672095407802,2430000000.0,0.024190417409136612,98947000000.0,133000000.0,743.9624060150376,0.7327759153652303,0.024342327926447194,0.011508347004540785,0.3036030576536013,0.012657138726988952,52.53,50.16,50.79,56.63,B-,36 out of 36,0.030000000000001137
AGNC,AGNC,2013,2013-12-31,4.35,1649084999.9999998,5.15,5.6,76255000000.0,8697000000.0,910000000.0,7312839000.0,6079839000.0,25.057348824054557,22.712897407404203,0.011933643695495377,0.10463378176382661,-1233000000.0,-0.016169431512687692,2143000000.0,0.02810307520818307,69528000000.0,66648000000.0,1.0432120993878287,-0.24088877385443938,-0.4042547682007487,0.020057093225544467,0.7485555078528866,-0.007936240740415386,52.06,49.36,50.42,56.4,B-,61 out of 63,-0.46999999999999886
AGNC,AGNC,2014,2014-12-31,3.04,1074032000.0,4.35,5.15,67766000000.0,9428000000.0,761000000.0,7712538999.0,6753538999.0,24.939326431185904,22.766113282761566,0.011229820263849128,0.08071701315231226,-959000000.0,-0.014151639465218547,1720000000.0,0.025381459729067673,63284000000.0,57577000000.0,1.0991194400541884,-0.11132384761654973,0.1236983436442145,0.009123247062538285,0.041411699015272876,-0.012460600915471734,52.43,50.05,50.73,56.5,,,0.36999999999999744
AGNC,AGNC,2015,2015-12-31,2.5,871500000.0,3.04,4.35,57021000000.0,7971000000.0,4348000000.0,6044724000.0,9282724000.0,24.766685457983222,22.52245166240259,0.07625260868802722,0.5454773554133735,3238000000.0,0.05678609635046737,1110000000.0,0.019466512337559846,54943000000.0,48455000000.0,1.1338974306057166,-0.15856033999350708,-0.23026919920945632,0.009583331234139287,0.3623863637066967,-0.0057470892160999985,52.0,48.91,50.77,56.32,B-,72 out of 76,-0.4299999999999997
AGNC,AGNC,2016,2016-12-31,2.3200000000000003,770008000.0000001,2.5,3.04,56880000000.0,7356000000.0,3497000000.0,6017347000.0,8306347000.0,24.764209622441395,22.517912301456963,0.061480309423347396,0.47539423599782493,2289000000.0,0.04024261603375527,1208000000.0,0.021237693389592124,54941000000.0,49064000000.0,1.1197823251263657,-0.0024727731888251696,0.044552053414363524,0.010333428855262575,0.3983033662906789,-0.008522810139371565,50.73,46.19,50.87,55.12,B-,71 out of 71,-1.2700000000000031
AGNC,AGNC,2017,2017-12-31,2.16,774576000.0,2.3200000000000003,2.5,70376000000.0,8754000000.0,357000000.0,7240134000.0,6551134000.0,24.977118132896784,22.702905551460052,0.005072752074570876,0.040781357093899934,-689000000.0,-0.009790269410026146,1046000000.0,0.014863021484597021,45660000000.0,61265000000.0,0.7452868685219947,0.23727144866385372,0.10596605915159873,0.008628625277968078,0.36354927675576143,-0.006953168598945956,50.37,44.74,50.84,55.52,B-,67 out of 67,-0.35999999999999943
